DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013123548,30148,HERCULES SUPERSPAR,6001008501289,690.20,786.83,20.71,23.61,93.73,763.22,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013099851,30739,KOPANONG SUPERSPAR  DC ACCOUNT,6001008508172,-300.35,-342.40,-9.01,-10.27,-40.79,-332.13,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013099539,30886,ELARDUS PARK SUPERSPAR,6001008509629,-1804.81,-2057.48,-54.14,-61.72,-245.09,-1995.76,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089931,10284,KILNER PARK SUPERSPAR,6001008500107,-1753.97,-1999.53,-52.62,-59.99,-238.19,-1939.54,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013109819,30202,GIYANI SUPERSPAR,6001008501760,946.76,1079.31,28.40,32.38,128.57,1046.93,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013099956,30488,TSHAKHUMA SPAR,6001008504679,-136.90,-156.07,-4.11,-4.69,-18.59,-151.38,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122686,30854,WOODHILL SPAR,6001008509322,1710.97,1950.51,51.33,58.52,232.35,1891.99,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122889,30722,MOOIKLOOF SPAR,6001008508004,1557.25,1775.26,46.72,53.26,211.47,1722.00,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089813,30375,CULLINAN SPAR,6001008503511,-5.30,-6.04,-0.16,-0.18,-0.72,-5.86,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013091619,30715,SWARTKLIP SPAR,6001008507939,-913.85,-1041.79,-27.42,-31.26,-124.10,-1010.53,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141268,30976,CENTURION SPAR,6001008510519,622.16,709.26,18.66,21.27,84.49,687.99,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122681,30988,MURRAYFIELD KWIKSPAR,6001008510632,1254.60,1430.24,37.64,42.91,170.37,1387.33,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090708,30976,CENTURION SPAR,6001008510519,-210.60,-240.08,-6.32,-7.20,-28.60,-232.88,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013109926,30402,LOUIS TRICHARDT SUPERSPAR,6001008503801,1154.10,1315.67,34.62,39.47,156.72,1276.20,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013091410,30863,NABOOM SPAR,6001008509445,-211.95,-241.62,-6.36,-7.25,-28.78,-234.37,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013099732,30747,RANDJES PARK SPAR,6001008508257,-398.92,-454.77,-11.97,-13.65,-54.17,-441.12,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013093389,30906,BRITS SPAR BOND PERFECTION,6001008509827,-188.46,-214.85,-5.65,-6.44,-25.60,-208.41,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122280,30931,STAR TRADING SAVEMOR,6001008510076,496.18,565.64,14.89,16.97,67.38,548.67,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162826,30794,CLUBVIEW SPAR,6001008508738,771.99,880.07,23.16,26.40,104.84,853.67,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090901,30284,GROBLERSDAL SUPERSPAR,6001008502583,-1354.82,-1544.50,-40.64,-46.33,-183.99,-1498.17,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013123082,30941,SILVERPLACE SUPERSPAR,6001008510359,73.47,83.76,2.20,2.51,9.98,81.25,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089747,30671,KRUISFONTEIN SPAR,6001008507489,-143.10,-163.13,-4.29,-4.89,-19.43,-158.24,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122198,30671,KRUISFONTEIN SPAR,6001008507489,212.62,242.39,6.38,7.27,28.88,235.12,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122143,30906,BRITS SPAR BOND PERFECTION,6001008509827,205.30,234.04,6.16,7.02,27.88,227.02,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013099423,30402,LOUIS TRICHARDT SUPERSPAR,6001008503801,-536.26,-611.34,-16.09,-18.34,-72.83,-593.00,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013091269,30943,LEVUBU SPAR,6001008510168,-770.43,-878.29,-23.11,-26.35,-104.62,-851.94,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162747,30676,OLD FARM KWIKSPAR,6001008507533,114.05,130.02,3.42,3.90,15.49,126.12,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162001,30412,THE REEDS SPAR,6001008503900,210.50,239.97,6.32,7.20,28.59,232.77,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013109818,30202,GIYANI SUPERSPAR,6001008501760,293.72,334.84,8.81,10.04,39.89,324.80,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122795,30992,EAST LYNNE SPAR,6001008510670,73.47,83.76,2.20,2.51,9.98,81.25,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089558,30709,THE HILL KWIKSPAR,6001008507878,-59.60,-67.94,-1.79,-2.04,-8.09,-65.90,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013123539,30244,GROENKLOOF SPAR,6001008502187,2013.97,2295.93,60.42,68.88,273.50,2227.05,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122694,30715,SWARTKLIP SPAR,6001008507939,1793.40,2044.48,53.80,61.33,243.55,1983.15,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162054,30806,MORELETA SUPERSPAR,6001008508844,3087.66,3519.93,92.63,105.60,419.30,3414.33,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141476,30870,ORCHARDS SPAR,6001008509490,129.39,147.50,3.88,4.42,17.57,143.08,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013157881,30766,DOORNPOORT SPAR,6001008508431,3043.23,3469.28,91.30,104.08,413.27,3365.20,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013109966,30623,PLATINUM PARK SUPERSPAR,6001008507014,8978.78,10235.81,269.36,307.07,1219.32,9928.74,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013191349,30863,NABOOM SPAR,6001008509445,169.55,193.29,5.09,5.80,23.03,187.49,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013093541,30912,RYNEVELD SUPERSPAR,6001008509858,-7.45,-8.49,-0.22,-0.25,-1.01,-8.24,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013091188,30274,ARCADIA KWIKSPAR,6001008502484,-801.79,-914.04,-24.05,-27.42,-108.88,-886.62,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122837,30856,WAPADRAND KWIKSPAR,6001008509346,890.84,1015.56,26.73,30.47,120.98,985.09,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162761,30874,VAN DER HOFF SAVEMOR,6001008509544,-43.87,-50.01,-1.32,-1.50,-5.96,-48.51,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089925,10284,KILNER PARK SUPERSPAR,6001008500107,-7.45,-8.49,-0.22,-0.25,-1.01,-8.24,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013097727,30874,VAN DER HOFF SAVEMOR,6001008509544,-464.78,-529.85,-13.94,-15.89,-63.12,-513.96,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090242,30273,VALHALLA SPAR,6001008502477,-1056.52,-1204.43,-31.70,-36.14,-143.47,-1168.29,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013109890,30863,NABOOM SPAR,6001008509445,-136.86,-156.02,-4.11,-4.69,-18.58,-151.33,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162898,30870,ORCHARDS SPAR,6001008509490,-442.21,-504.12,-13.27,-15.13,-60.05,-488.99,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090288,10050,BON ACCORD SPAR,6001008500008,-168.48,-192.07,-5.05,-5.76,-22.88,-186.31,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090403,30101,MONUMENT PARK SUPERSPAR,6001008501104,-7.45,-8.49,-0.22,-0.25,-1.01,-8.24,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090419,30880,LEBOWAKGOMO SUPERSPAR,6001008509582,-1359.90,-1550.29,-40.80,-46.51,-184.68,-1503.78,296745
6001008000041,6004930015367, ,005187,05/07/2016,INV,9013141496,30101,MONUMENT PARK SUPERSPAR,6001008501104,1728.67,1970.68,51.86,59.12,234.75,1911.56,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162475,30273,VALHALLA SPAR,6001008502477,-82.45,-93.99,-2.47,-2.82,-11.19,-91.17,296745
6001008000041,6004930015367, ,005187,08/07/2016,INV,9013162827,30794,CLUBVIEW SPAR,6001008508738,3867.64,4409.11,116.03,132.27,525.23,4276.84,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013093328,30900,THORNHILL SUPERSPAR DC ACCOUNT,6001008509735,-5828.90,-6644.95,-174.87,-199.35,-791.57,-6445.60,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013089811,30375,CULLINAN SPAR,6001008503511,-16.98,-19.36,-0.51,-0.58,-2.31,-18.78,296745
6001008000041,6004930015367, ,005187,07/07/2016,CR,9013162438,30844,DELY ROAD SUPERSPAR (NEWLANDS),6001008509254,-175.83,-200.45,-5.27,-6.01,-23.88,-194.44,296745
6001008000041,6004930015367, ,005187,04/07/2016,INV,9013122054,30728,MOFAGO SPAR,6001008508066,281.34,320.73,8.44,9.62,38.21,311.11,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013100241,30882,KAREN PARK SUPERSPAR,6001008509759,-783.34,-893.01,-23.50,-26.79,-106.38,-866.22,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013090261,30231,ROSSLYN SPAR,6001008502057,-164.90,-187.99,-4.95,-5.64,-22.40,-182.35,296745
6001008000041,6004930015367, ,005187,03/07/2016,CR,9013100214,30617,TZANEEN SUPERSPAR,6001008506956,-284.30,-324.10,-8.53,-9.72,-38.61,-314.38,296745
