DCEanCode,Supplier Primary EAN,Supplier Despatch Point,Vendor Code,DocDate,DocumentType,SupplierDocumentNo,StoreCode,StoreName,StoreEanCode,DocumentAmountExcl,DocumentAmountIncl,DiscountAmountExcl,DiscountAmountIncl,VatAmountPayable,NetAmountIncl,PaymentNumber
6001008000034,6001299000010, ,001518,04/07/2016,INV,62364989,21548,SUNWARD PARK SPAR,6001008406713,10459.77,11026.83,534.49,600.34,501.21,10426.49,294081
6001008000034,6001299000010, ,001518,08/07/2016,CR,62434139,21622,THE ANGELO SUPERSPAR,6001008407512,-611.71,-697.35,-31.26,-35.64,-81.26,-661.71,294081
6001008000034,6001299000010, ,001518,05/07/2016,CR,62183625,22025,LIME ACRES SPAR,6001008411236,-2038.93,-2044.42,-104.19,-115.97,6.29,-1928.45,294081
6001008000034,6001299000010, ,001518,04/07/2016,INV,62365348,21539,MEDITAS SPAR,6001008406799,3538.48,3817.26,180.81,203.96,255.63,3613.30,294081
6001008000034,6001299000010, ,001518,08/07/2016,CR,62437576,10056,BOTHAVILLE SPAR(FS),6001008400018,-742.95,-846.96,-37.97,-43.29,-98.69,-803.67,294081
6001008000034,6001299000010, ,001518,19/07/2016,CR,62295887,21424,SCHWEIZER SPAR (FS),6001008405631,-1389.25,-1558.22,-70.99,-80.67,-159.29,-1477.55,294081
6001008000034,6001299000010, ,001518,28/07/2016,CR,62552090,21665,BETHAL SUPERSPAR,6001008407734,-1520.31,-1733.15,-77.69,-88.57,-201.96,-1644.58,294081
6001008000034,6001299000010, ,001518,04/07/2016,INV,62363410,22018,BEDFORDVIEW SPAR,6001008411144,692.46,789.43,35.38,40.33,92.02,749.10,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62278822,21530,KURUMAN SUPERSPAR (FS),6001008406515,3709.00,3717.54,189.53,210.96,-12.89,3506.58,294081
6001008000034,6001299000010, ,001518,01/07/2016,INV,62330808,21245,BIRCHGATE SPAR,6001008403446,4325.20,4587.99,221.02,248.54,235.27,4339.45,294081
6001008000034,6001299000010, ,001518,05/07/2016,CR,62158429,21126,PALM SANDS SPAR,6001008401763,-360.94,-411.47,-18.45,-21.04,-47.94,-390.43,294081
